Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 10:16:00-05:00,34315.5703125,34322.7890625,34314.5703125,34322.671875,396595,0,0
2022-11-25 10:17:00-05:00,34322.53125,34341.26171875,34322.3203125,34341.26171875,529473,0,0
2022-11-25 10:18:00-05:00,34342.3515625,34342.3515625,34328.25,34338.859375,553929,0,0
2022-11-25 10:19:00-05:00,34339.33984375,34341.2890625,34335.05859375,34335.140625,438608,0,0
2022-11-25 10:20:00-05:00,34335.66015625,34335.76171875,34328.0,34334.9296875,421637,0,0
2022-11-25 10:21:00-05:00,34334.8515625,34340.75,34334.76953125,34340.75,469287,0,0
2022-11-25 10:22:00-05:00,34341.37890625,34345.1484375,34339.23046875,34339.23046875,451920,0,0
2022-11-25 10:23:00-05:00,34339.33984375,34341.19140625,34326.62890625,34326.890625,451569,0,0
2022-11-25 10:24:00-05:00,34326.421875,34333.1484375,34322.2890625,34322.2890625,417370,0,0
2022-11-25 10:25:00-05:00,34322.6015625,34334.828125,34320.55859375,34332.66015625,377304,0,0
2022-11-25 10:26:00-05:00,34333.08984375,34340.8203125,34331.2109375,34332.28125,402936,0,0
2022-11-25 10:27:00-05:00,34332.03125,34333.5390625,34323.828125,34327.25,384099,0,0
2022-11-25 10:28:00-05:00,34327.12890625,34329.48828125,34322.37109375,34323.01953125,410755,0,0
2022-11-25 10:29:00-05:00,34323.2890625,34330.23828125,34322.98046875,34328.6015625,423421,0,0
2022-11-25 10:30:00-05:00,34328.48046875,34329.2890625,34325.44921875,34326.33984375,465067,0,0
2022-11-25 10:31:00-05:00,34325.859375,34328.87890625,34323.8515625,34325.9296875,691648,0,0
2022-11-25 10:32:00-05:00,34326.19921875,34326.23828125,34314.171875,34318.08984375,454237,0,0
2022-11-25 10:33:00-05:00,34318.28125,34327.30078125,34315.921875,34325.5703125,301597,0,0
2022-11-25 10:34:00-05:00,34326.078125,34330.2109375,34326.078125,34329.48046875,439102,0,0
2022-11-25 10:35:00-05:00,34329.421875,34340.01171875,34329.12890625,34335.76953125,351008,0,0
2022-11-25 10:36:00-05:00,34336.87890625,34336.87890625,34328.66015625,34333.01171875,339531,0,0
2022-11-25 10:37:00-05:00,34332.05859375,34336.23828125,34329.26953125,34336.23828125,348140,0,0
2022-11-25 10:38:00-05:00,34336.3515625,34338.53125,34332.8515625,34332.8515625,461571,0,0
2022-11-25 10:39:00-05:00,34333.03125,34346.30859375,34333.03125,34344.671875,395151,0,0
2022-11-25 10:40:00-05:00,34344.640625,34350.76171875,34342.19140625,34350.0390625,355711,0,0
2022-11-25 10:41:00-05:00,34348.921875,34352.0703125,34345.51953125,34346.9609375,374108,0,0
2022-11-25 10:42:00-05:00,34346.12890625,34348.6796875,34344.5,34347.6484375,319118,0,0
